"","Month_Yr","SUBURB","n"
"530","2018-10","DELAHEY",6
"531","2018-10","DERRIMUT",2
"532","2018-10","DIAMOND CREEK",13
"533","2018-10","DIGGERS REST",3
"534","2018-10","DINGLEY VILLAGE",12
"535","2018-10","DOCKLANDS",28
"536","2018-10","DONCASTER",37
"537","2018-10","DONCASTER EAST",25
"538","2018-10","DONNYBROOK",4
"539","2018-10","DONVALE",12
"540","2018-10","DOREEN",39
"541","2018-10","DOVETON",6
"542","2018-10","DROMANA",8
"543","2018-10","EAGLEMONT",3
"544","2018-10","EAST MELBOURNE",6
"545","2018-10","EAST WARBURTON",3
"546","2018-10","EDEN PARK",1
"547","2018-10","EDITHVALE",6
"548","2018-10","ELSTERNWICK",18
"549","2018-10","ELTHAM",18
"550","2018-10","ELTHAM NORTH",6
"551","2018-10","ELWOOD",34
"552","2018-10","EMERALD",7
"553","2018-10","ENDEAVOUR HILLS",21
"554","2018-10","EPPING",42
"555","2018-10","ESSENDON",35
"556","2018-10","ESSENDON NORTH",2
"557","2018-10","ESSENDON WEST",1
"558","2018-10","EUMEMMERRING",3
"559","2018-10","EYNESBURY",3
"560","2018-10","FAIRFIELD",13
"561","2018-10","FAWKNER",14
"562","2018-10","FERNTREE GULLY",32
"563","2018-10","FERNY CREEK",3
"564","2018-10","FINGAL",5
"565","2018-10","FITZROY",13
"566","2018-10","FITZROY NORTH",11
"567","2018-10","FLEMINGTON",10
"568","2018-10","FLINDERS",2
"569","2018-10","FOOTSCRAY",31
"570","2018-10","FOREST HILL",9
"571","2018-10","FRANKSTON",67
"572","2018-10","FRANKSTON NORTH",7
"573","2018-10","FRANKSTON SOUTH",23
"574","2018-10","FRASER RISE",1
"575","2018-10","GARFIELD",2
"576","2018-10","GEMBROOK",5
"577","2018-10","GILDEROY",1
"578","2018-10","GLADSTONE PARK",13
"579","2018-10","GLADYSDALE",1
"580","2018-10","GLEN HUNTLY",8
"581","2018-10","GLEN IRIS",27
"582","2018-10","GLEN WAVERLEY",37
"583","2018-10","GLENROY",22
"584","2018-10","GOWANBRAE",5
"585","2018-10","GREENSBOROUGH",29
"586","2018-10","GREENVALE",25
"587","2018-10","GUYS HILL",1
"588","2018-10","HADFIELD",6
"589","2018-10","HALLAM",8
"590","2018-10","HAMPTON",22
"591","2018-10","HAMPTON EAST",4
"592","2018-10","HAMPTON PARK",31
"593","2018-10","HARKNESS",15
"594","2018-10","HASTINGS",15
"595","2018-10","HAWTHORN",35
"596","2018-10","HAWTHORN EAST",16
"597","2018-10","HEALESVILLE",10
"598","2018-10","HEATHERTON",3
"599","2018-10","HEATHMONT",11
"600","2018-10","HEIDELBERG",6
"601","2018-10","HEIDELBERG HEIGHTS",12
"602","2018-10","HEIDELBERG WEST",9
"603","2018-10","HIGHETT",19
"604","2018-10","HILLSIDE",15
"605","2018-10","HOPPERS CROSSING",40
"606","2018-10","HUGHESDALE",6
"607","2018-10","HUMEVALE",1
"608","2018-10","HUNTINGDALE",1
"609","2018-10","HURSTBRIDGE",2
"610","2018-10","IVANHOE",11
"611","2018-10","IVANHOE EAST",2
"612","2018-10","JACANA",7
"613","2018-10","JUNCTION VILLAGE",1
"614","2018-10","KALKALLO",6
"615","2018-10","KALLISTA",3
"616","2018-10","KEALBA",2
"617","2018-10","KEILOR",5
"618","2018-10","KEILOR DOWNS",6
"619","2018-10","KEILOR EAST",21
