,year,SUBURB,suburb,n,price_mean
406,2018,THE PATCH,The Patch,5,899200
407,2018,THOMASTOWN,Thomastown,62,592131.629
408,2018,THORNBURY,Thornbury,93,922956.9892
409,2018,THORNHILL PARK,Thornhill Park,4,622500
410,2018,TOOLANGI,Toolangi,1,620000
411,2018,TOOLERN VALE,Toolern Vale,2,678500
412,2018,TOORADIN,Tooradin,3,1096666.667
413,2018,TOORAK,Toorak,60,2145547.5
414,2018,TOOTGAROOK,Tootgarook,26,623230.7692
415,2018,TRAVANCORE,Travancore,15,521833.3333
416,2018,TRUGANINA,Truganina,88,564598.7727
417,2018,TULLAMARINE,Tullamarine,30,568316.6667
418,2018,TYABB,Tyabb,13,729576.9231
419,2018,TYNONG,Tynong,2,736000
420,2018,UPPER FERNTREE GULLY,Upper Ferntree Gully,15,765146.6667
421,2018,UPWEY,Upwey,36,727784.7222
422,2018,VERMONT,Vermont,29,852234.4828
423,2018,VERMONT SOUTH,Vermont South,32,1047370.313
424,2018,VIEWBANK,Viewbank,25,918440
425,2018,WANDIN NORTH,Wandin North,15,759900
426,2018,WANTIRNA,Wantirna,40,840854.975
427,2018,WANTIRNA SOUTH,Wantirna South,62,892017.3548
428,2018,WARBURTON,Warburton,14,598821.4286
429,2018,WARNEET,Warneet,2,625500
430,2018,WARRANDYTE,Warrandyte,14,1432071.429
431,2018,WARRANDYTE SOUTH,Warrandyte South,1,1380000
432,2018,WARRANWOOD,Warranwood,12,1107008.333
433,2018,WATERWAYS,Waterways,5,1150140
434,2018,WATSONIA,Watsonia,28,767160.7143
435,2018,WATSONIA NORTH,Watsonia North,14,821642.8571
436,2018,WATTLE GLEN,Wattle Glen,10,830950
437,2018,WEIR VIEWS,Weir Views,7,463928.5714
438,2018,WERRIBEE,Werribee,189,532448.8624
439,2018,WERRIBEE SOUTH,Werribee South,3,447500
440,2018,WESBURN,Wesburn,4,460750
441,2018,WEST FOOTSCRAY,West Footscray,62,697395.1613
442,2018,WEST MELBOURNE,West Melbourne,20,725550
443,2018,WESTMEADOWS,Westmeadows,25,589580
444,2018,WHEELERS HILL,Wheelers Hill,68,1153344.676
445,2018,WHITTLESEA,Whittlesea,28,635678.5714
446,2018,WILLIAMS LANDING,Williams Landing,35,698840
447,2018,WILLIAMSTOWN,Williamstown,72,1354756.944
448,2018,WINDSOR,Windsor,17,771794.1176
449,2018,WOLLERT,Wollert,67,575898.1791
450,2018,WONGA PARK,Wonga Park,6,1553592.5
451,2018,WOODSTOCK,Woodstock,1,2105000
452,2018,WOORI YALLOCK,Woori Yallock,9,652500
453,2018,WYNDHAM VALE,Wyndham Vale,114,496330.5175
454,2018,YALLAMBIE,Yallambie,15,785200
455,2018,YAN YEAN,Yan Yean,1,780000
456,2018,YARRA GLEN,Yarra Glen,15,940166.6667
457,2018,YARRA JUNCTION,Yarra Junction,12,589875
458,2018,YARRAMBAT,Yarrambat,2,1525000
459,2018,YARRAVILLE,Yarraville,58,946643.1034
460,2018,YELLINGBO,Yellingbo,1,618000
461,2018,YUROKE,Yuroke,1,1570000
462,2019,ABBOTSFORD,Abbotsford,153,802748.0392
463,2019,ABERFELDIE,Aberfeldie,43,1325360.465
464,2019,AINTREE,Aintree,64,624484.375
465,2019,AIRPORT WEST,Airport West,118,746394.0678
466,2019,ALBANVALE,Albanvale,50,498317.76
467,2019,ALBERT PARK,Albert Park,94,2089053.191
468,2019,ALBION,Albion,74,467644.3378
469,2019,ALPHINGTON,Alphington,57,1251348.947
470,2019,ALTONA,Altona,240,828210.2667
471,2019,ALTONA MEADOWS,Altona Meadows,194,594630.5464
472,2019,ALTONA NORTH,Altona North,191,774835.9162
473,2019,ARDEER,Ardeer,41,601573.1707
474,2019,ARMADALE,Armadale,157,1304336.694
475,2019,ARTHURS CREEK,Arthurs Creek,3,1421666.667
476,2019,ARTHURS SEAT,Arthurs Seat,6,991666.6667
477,2019,ASCOT VALE,Ascot Vale,216,917414.3519
478,2019,ASHBURTON,Ashburton,77,1532549.221
479,2019,ASHWOOD,Ashwood,86,1040780.977
480,2019,ASPENDALE,Aspendale,104,1027019.231
481,2019,ASPENDALE GARDENS,Aspendale Gardens,43,862299.7209
482,2019,ATTWOOD,Attwood,27,702425.9259
483,2019,AVONDALE HEIGHTS,Avondale Heights,135,825677.6
484,2019,AVONSLEIGH,Avonsleigh,14,664835.7143
485,2019,BADGER CREEK,Badger Creek,12,470250
486,2019,BALACLAVA,Balaclava,59,790771.1864
487,2019,BALNARRING,Balnarring,28,1179546.429
488,2019,BALNARRING BEACH,Balnarring Beach,5,1801100
489,2019,BALWYN,Balwyn,179,1878821.503
490,2019,BALWYN NORTH,Balwyn North,259,1792065.641
491,2019,BANGHOLME,Bangholme,2,437500
492,2019,BAXTER,Baxter,39,526461.5385
493,2019,BAYLES,Bayles,1,255000
494,2019,BAYSWATER,Bayswater,181,650912.1215
495,2019,BAYSWATER NORTH,Bayswater North,147,602661.3401
496,2019,BEACONSFIELD,Beaconsfield,95,730683.1579
497,2019,BEACONSFIELD UPPER,Beaconsfield Upper,23,1034760.87
498,2019,BEAUMARIS,Beaumaris,205,1483197.434
499,2019,BELGRAVE,Belgrave,68,640762.5
