"","year","SUBURB","n"
"462","2019","ABBOTSFORD",153
"463","2019","ABERFELDIE",43
"464","2019","AINTREE",64
"465","2019","AIRPORT WEST",118
"466","2019","ALBANVALE",50
"467","2019","ALBERT PARK",94
"468","2019","ALBION",74
"469","2019","ALPHINGTON",57
"470","2019","ALTONA",240
"471","2019","ALTONA MEADOWS",194
"472","2019","ALTONA NORTH",191
"473","2019","ARDEER",41
"474","2019","ARMADALE",157
"475","2019","ARTHURS CREEK",3
"476","2019","ARTHURS SEAT",6
"477","2019","ASCOT VALE",216
"478","2019","ASHBURTON",77
"479","2019","ASHWOOD",86
"480","2019","ASPENDALE",104
"481","2019","ASPENDALE GARDENS",43
"482","2019","ATTWOOD",27
"483","2019","AVONDALE HEIGHTS",135
"484","2019","AVONSLEIGH",14
"485","2019","BADGER CREEK",12
"486","2019","BALACLAVA",59
"487","2019","BALNARRING",28
"488","2019","BALNARRING BEACH",5
"489","2019","BALWYN",179
"490","2019","BALWYN NORTH",259
"491","2019","BANGHOLME",2
"492","2019","BAXTER",39
"493","2019","BAYLES",1
"494","2019","BAYSWATER",181
"495","2019","BAYSWATER NORTH",147
"496","2019","BEACONSFIELD",95
"497","2019","BEACONSFIELD UPPER",23
"498","2019","BEAUMARIS",205
"499","2019","BELGRAVE",68
"500","2019","BELGRAVE HEIGHTS",13
"501","2019","BELGRAVE SOUTH",14
"502","2019","BELLFIELD",26
"503","2019","BEND OF ISLANDS",3
"504","2019","BENTLEIGH",293
"505","2019","BENTLEIGH EAST",392
"506","2019","BERWICK",674
"507","2019","BIG PATS CREEK",2
"508","2019","BITTERN",67
"509","2019","BLACK ROCK",96
"510","2019","BLACKBURN",211
"511","2019","BLACKBURN NORTH",105
"512","2019","BLACKBURN SOUTH",120
"513","2019","BLAIRGOWRIE",111
"514","2019","BLIND BIGHT",13
"515","2019","BONBEACH",143
"516","2019","BORONIA",368
"517","2019","BOTANIC RIDGE",94
"518","2019","BOX HILL",186
"519","2019","BOX HILL NORTH",161
"520","2019","BOX HILL SOUTH",131
"521","2019","BRAYBROOK",90
"522","2019","BRIAR HILL",54
"523","2019","BRIGHTON",325
"524","2019","BRIGHTON EAST",207
"525","2019","BROADMEADOWS",128
"526","2019","BROOKFIELD",143
"527","2019","BROOKLYN",57
"528","2019","BRUNSWICK",379
"529","2019","BRUNSWICK EAST",203
"530","2019","BRUNSWICK WEST",190
"531","2019","BULLA",3
"532","2019","BULLEEN",161
"533","2019","BUNDOORA",298
"534","2019","BUNYIP",29
"535","2019","BURNLEY",1
"536","2019","BURNSIDE",39
"537","2019","BURNSIDE HEIGHTS",41
"538","2019","BURWOOD",191
"539","2019","BURWOOD EAST",106
"540","2019","CAIRNLEA",62
"541","2019","CALDERMEADE",1
"542","2019","CAMBERWELL",263
"543","2019","CAMPBELLFIELD",33
"544","2019","CANNONS CREEK",8
"545","2019","CANTERBURY",88
"546","2019","CAPE SCHANCK",13
"547","2019","CAPEL SOUND",97
"548","2019","CARDINIA",1
"549","2019","CARLTON",178
"550","2019","CARLTON NORTH",88
"551","2019","CARNEGIE",251
"552","2019","CAROLINE SPRINGS",269
"553","2019","CARRUM",84
"554","2019","CARRUM DOWNS",379
"555","2019","CATANI",1
"556","2019","CAULFIELD",80
"557","2019","CAULFIELD EAST",26
"558","2019","CAULFIELD NORTH",169
"559","2019","CAULFIELD SOUTH",138
"560","2019","CHADSTONE",125
"561","2019","CHELSEA",171
"562","2019","CHELSEA HEIGHTS",60
"563","2019","CHELTENHAM",361
"564","2019","CHIRNSIDE PARK",154
"565","2019","CHRISTMAS HILLS",2
"566","2019","CHUM CREEK",7
"567","2019","CLARINDA",60
"568","2019","CLAYTON",184
"569","2019","CLAYTON SOUTH",142
"570","2019","CLEMATIS",6
"571","2019","CLIFTON HILL",73
"572","2019","CLYDE",114
"573","2019","CLYDE NORTH",420
"574","2019","COBBLEBANK",26
"575","2019","COBURG",307
"576","2019","COBURG NORTH",105
"577","2019","COCKATOO",72
"578","2019","COLDSTREAM",20
"579","2019","COLLINGWOOD",150
